line_no,text_raw,text_clean,text_raw_len,text_clean_len,,
2087,"It could not be for society, as he frequently sat there
ten minutes together without opening his lips; and when he did speak, it
seemed the effect of necessity rather than of choice--a sacrifice to
propriety, not a pleasure to himself.","it could not be for society, as he frequently sat there ten minutes together without opening his lips; and when he did speak, it seemed the effect of necessity rather than of choice--a sacrifice to propriety, not a pleasure to himself.",238,235,,
2088,"He seldom appeared really
animated.",he seldom appeared really animated.,36,35,,
2089,Mrs. Collins knew not what to make of him.,mrs. collins knew not what to make of him.,42,42,,
2090,"Colonel
Fitzwilliam’s occasionally laughing at his stupidity proved that he was
generally different, which her own knowledge of him could not have told
her; and as she would have liked to believe this change the effect of
love, and the object of that love her friend Eliza, she set herself
seriously to work to find it out: she watched him whenever they were at
Rosings, and whenever he came to Hunsford; but without much success.","colonel fitzwilliam's occasionally laughing at his stupidity proved that he was generally different, which her own knowledge of him could not have told her; and as she would have liked to believe this change the effect of love, and the object of that love her friend eliza, she set herself seriously to work to find it out: she watched him whenever they were at rosings, and whenever he came to hunsford; but without much success.",436,430,,
2091,"He
certainly looked at her friend a great deal, but the expression of that
look was disputable.","he certainly looked at her friend a great deal, but the expression of that look was disputable.",97,95,,
2092,"It was an earnest, steadfast gaze, but she often
doubted whether there were much admiration in it, and sometimes it
seemed nothing but absence of mind.","it was an earnest, steadfast gaze, but she often doubted whether there were much admiration in it, and sometimes it seemed nothing but absence of mind.",153,151,,
2093,"She had once or twice suggested to Elizabeth the possibility of his
being partial to her, but Elizabeth always laughed at the idea; and Mrs.
Collins did not think it right to press the subject, from the danger of
raising expectations which might only end in disappointment; for in her
opinion it admitted not of a doubt, that all her friend’s dislike would
vanish, if she could suppose him to be in her power.","she had once or twice suggested to elizabeth the possibility of his being partial to her, but elizabeth always laughed at the idea; and mrs. collins did not think it right to press the subject, from the danger of raising expectations which might only end in disappointment; for in her opinion it admitted not of a doubt, that all her friend's dislike would vanish, if she could suppose him to be in her power.",414,409,,
2094,"In her kind schemes for Elizabeth, she sometimes planned her marrying
Colonel Fitzwilliam.","in her kind schemes for elizabeth, she sometimes planned her marrying colonel fitzwilliam.",91,90,,
2095,"He was, beyond comparison, the pleasantest man: he
certainly admired her, and his situation in life was most eligible; but,
to counterbalance these advantages, Mr. Darcy had considerable patronage
in the church, and his cousin could have none at all.","he was, beyond comparison, the pleasantest man: he certainly admired her, and his situation in life was most eligible; but, to counterbalance these advantages, mr. darcy had considerable patronage in the church, and his cousin could have none at all.",253,250,,
2096,"[Illustration: “On looking up”]




CHAPTER XXXIII.","[illustration: ""on looking up""] chapter xxxiii.",56,47,,
2097,"More than once did Elizabeth, in her ramble within the park,
unexpectedly meet Mr. Darcy.","more than once did elizabeth, in her ramble within the park, unexpectedly meet mr. darcy.",90,89,,
2098,"She felt all the perverseness of the
mischance that should bring him where no one else was brought; and, to
prevent its ever happening again, took care to inform him, at first,
that it was a favourite haunt of hers.","she felt all the perverseness of the mischance that should bring him where no one else was brought; and, to prevent its ever happening again, took care to inform him, at first, that it was a favourite haunt of hers.",218,215,,
2099,"How it could occur a second time,
therefore, was very odd!","how it could occur a second time, therefore, was very odd!",59,58,,
2100,"Yet it did, and even the third.","yet it did, and even the third.",31,31,,
2101,"It seemed like
wilful ill-nature, or a voluntary penance; for on these occasions it was
not merely a few formal inquiries and an awkward pause and then away,
but he actually thought it necessary to turn back and walk with her.","it seemed like wilful ill-nature, or a voluntary penance; for on these occasions it was not merely a few formal inquiries and an awkward pause and then away, but he actually thought it necessary to turn back and walk with her.",229,226,,
